release_date,survey_label,target_meeting,days_to_meeting,hike_pct,hold_pct,cut_pct,bmsi_rate_index,source_type,source_url,note
2015-02-13,2015년 2월 채권시장지표(BMSI),2015-02-17,4,,91.2,,,news-article,http://v.daum.net/v/20150213102111229,복수 매체 91.2%
2015-03-10,2015년 3월 채권시장지표(BMSI),2015-03-12,2,,92.1,,,news-article,http://v.daum.net/v/20150310095710425,복수 매체 92.1%. 3/12 금통위 실제 인하(2.00→1.75%) — 서베이는 동결 우세였던 서프라이즈 인하
2015-04-07,2015년 4월 채권시장지표(BMSI),2015-04-09,2,,96.4,,,news-article,http://v.daum.net/v/20150407093530239,복수 매체 96.4%
2015-05-13,2015년 5월 채권시장지표(BMSI),2015-05-15,2,,93.4,,,news-article,http://v.daum.net/v/20150513094100873,복수 매체 93.4%
2015-06-09,2015년 6월 채권시장지표(BMSI),2015-06-11,2,,70.1,29.9,,news-article,http://v.daum.net/v/20150609153705104,"동결 70.1%(82명), 인하 29.9%는 별도 기사(v.daum.net/v/20150609142010439) 확인. 6/11 금통위 실제 인하(1.75→1.50%)"
2015-07-07,2015년 7월 채권시장지표(BMSI),2015-07-09,2,,98.2,,,news-article,http://v.daum.net/v/20150707113034598,복수 매체 98.2%
2015-08-11,2015년 8월 채권시장지표(BMSI),2015-08-13,2,,98.2,,,news-article,http://v.daum.net/v/20150811104731489,복수 매체 98.2%
2015-09-09,2015년 9월 채권시장지표(BMSI),2015-09-11,2,,95.7,,,news-article,http://v.daum.net/v/20150909103107122,복수 매체 95.7%
2015-10-13,2015년 10월 채권시장지표(BMSI),2015-10-15,2,,85,,,news-article,http://v.daum.net/v/20151013101948328,"본문 85.0% 확인. 인하 비율은 기사 간 표기 불일치(한 기사 19.5% 표기, 85%와 합이 100 초과)로 미기록"
2015-11-10,2015년 11월 채권시장지표(BMSI),2015-11-12,2,,96.4,,,news-article,http://v.daum.net/v/20151110112107733,복수 매체 96.4%
2015-12-08,2015년 12월 채권시장지표(BMSI),2015-12-10,2,,95.3,,,news-article,http://v.daum.net/v/20151208142030266,복수 매체 95.3%
2016-01-12,2016년 1월 채권시장지표(BMSI),2016-01-14,2,,98,,,news-article,http://v.daum.net/v/20160112140730686,복수 매체 98%
2016-02-12,2016년 2월 채권시장지표(BMSI),2016-02-16,4,,99,,,news-article,http://v.daum.net/v/20160212104536907,아시아경제 99.0%
2016-03-08,2016년 3월 채권시장지표(BMSI),2016-03-10,2,,72.5,,,news-article,http://v.daum.net/v/20160308100647930,"본문 72.5%(응답 200명, 전월 99%). 인하 비율은 본문 미기재(잔여 27.5%는 추정이므로 미기록)"
2016-04-14,2016년 4월 채권시장지표(BMSI),2016-04-19,5,,86.1,,,news-article,http://v.daum.net/v/20160414140948277,복수 매체 86.1%(4월 금통위가 4/19로 늦어 발표도 4/14)
2016-05-11,2016년 5월 채권시장지표(BMSI),2016-05-13,2,,85.7,,,news-article,http://v.daum.net/v/20160511102302381,복수 매체 85.7%
2016-06-07,2016년 6월 채권시장지표(BMSI),2016-06-09,2,,79.4,,,news-article,http://v.daum.net/v/20160607144749367,연합뉴스 본문 79.4%(응답 200명). 인하 비율 미기재(잔여 20.6%는 추정이므로 미기록). 6/9 금통위 실제 인하(1.50→1.25%) — 동결 우세 속 서프라이즈 인하
2016-07-12,2016년 7월 채권시장지표(BMSI),2016-07-14,2,,91.2,,,news-article,http://v.daum.net/v/20160712104231707,복수 매체 91.2%
2016-08-09,2016년 8월 채권시장지표(BMSI),2016-08-11,2,,96,,,news-article,http://v.daum.net/v/20160809111928212,복수 매체 96.0%
2016-09-07,2016년 9월 채권시장지표(BMSI),2016-09-09,2,,96,,,news-article,https://v.daum.net/v/20160907111809337,복수 매체 96.0%
2016-10-11,2016년 10월 채권시장지표(BMSI),2016-10-13,2,,98,,,news-article,http://v.daum.net/v/20161011104003866,복수 매체 98%
2016-11-09,2016년 11월 채권시장지표(BMSI),2016-11-11,2,,99,,,news-article,http://v.daum.net/v/20161109104003252,복수 매체 99.0%
2016-12-13,2016년 12월 채권시장지표(BMSI),2016-12-15,2,,98,,,news-article,http://v.daum.net/v/20161213114122380,복수 매체 98%(응답 100명 중 98명)
2017-01-11,2017년 1월 채권시장지표,2017-01-13,2,0,100,0,100,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=115479&bbsId=BBSMSTR_000000000203,동결 100.0% 명시(→인상·인하 0은 산술적 확정). 기준금리 BMSI 100.0(전월 102.0). 1/13 금통위 대상. 이 시기 명명은 발표 당월 기준.
2017-02-21,2017년 2월 채권시장지표,2017-02-23,2,,99,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=115825&bbsId=BBSMSTR_000000000203,"동결 99.0%(1.25% 유지)만 보도. 조사 2/8~13, 2/23 금통위 대상."
2017-04-11,2017년 4월 채권시장지표,2017-04-13,2,,99,,99,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=116281&bbsId=BBSMSTR_000000000203,동결 99.0%. 기준금리 BMSI 99.0(전월 100.0) — 지수식(100+인하-인상)상 인상 1.0/인하 0.0으로 유도 가능하나 원문 미기재. 4/13 금통위 대상.
2017-05-23,2017년 5월 채권시장지표,2017-05-25,2,0,100,0,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=116617&bbsId=BBSMSTR_000000000203,"동결 100.0% 명시(→인상·인하 0 확정). 조사 5/10~15, 5/25 금통위 대상."
2017-07-11,2017년 7월 채권시장지표,2017-07-13,2,,98,,98,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=117367&bbsId=BBSMSTR_000000000203,동결 98.0%(전월 100.0%). 기준금리 BMSI 98.0 — 지수식상 인상 2.0/인하 0.0 유도 가능. 7/13 금통위 대상.
2017-08-29,2017년 8월 채권시장지표,2017-08-31,2,,99,,99,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=117737&bbsId=BBSMSTR_000000000203,동결 99.0%. 기준금리 BMSI 99.0(전월 98.0). 8/31 금통위 대상.
2017-10-17,2017년 10월 채권시장지표,2017-10-19,2,0,100,0,100,news-article,http://v.daum.net/v/20171017093827704,"응답자 100명 전원 동결(→인상·인하 0 확정). 기준금리 BMSI 100(전월과 동일). 조사 9/27~10/10, 10/19 금통위 대상. 금투협 게시판 검색에는 미노출, 이데일리·뉴시스·연합 등 복수 보도로 확인(공식 명칭은 이데일리 기사 인용)."
2017-11-28,2017년 12월 채권시장지표,2017-11-30,2,82,,,19,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=118441&bbsId=BBSMSTR_000000000203,"인상 82.0%만 원문 보도(연합·머니투데이·아시아경제 동일). 기준금리 BMSI 19.0(전월 100.0) — 지수식상 동결 17.0/인하 1.0 유도 가능. 조사 11/15~20, 200명 대상, 11/30 금통위(실제 인상) 대상. 이 발표분부터 익월(12월) 명명으로 전환."
2018-01-17,2018년 1월 채권시장지표,2018-01-18,1,,99,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=118835&bbsId=BBSMSTR_000000000203,동결 99.0%(1.50%)만 보도. 1/18 금통위 대상.
2018-02-23,"2018년 2월 기준금리 설문(공식 지표명 미확인, 2/23 발표)",2018-02-27,4,,93,,,news-article,http://v.daum.net/v/20180223161830868,"동결 93.0%(100명 중 93명). 조사 2/8~13, 74개 기관 100명, 2/27 금통위 대상. 뉴스1·파이낸셜뉴스 등 복수 보도. 금투협 게시판 검색 미노출로 공식 명칭 미확인."
2018-04-10,2018년 4월 채권시장지표(4/10 발표분),2018-04-12,2,11,89,0,89,news-article,http://v.daum.net/v/20180410103722757,"동결 89%·인상 11% 명시(파이낸셜뉴스), 합 100→인하 0 확정. 기준금리 BMSI 89.0(이데일리). 4/12 금통위 대상. 금투협 보도자료 nttId=119419에도 동결 89.0% 게재. 주의: 3/30 발표 동명 지표 기사(동결 47.2/인상 44)는 시장금리 문항 오인 보도로 확인(금리전망 BMSI 64.8과 정합) — 기준금리 수치 아님."
2018-05-21,"2018년 5월 기준금리 설문(공식 지표명 미확인, 5/21 발표)",2018-05-24,3,,93,,,news-article,http://v.daum.net/v/20180521143803679,"동결 93%(뉴시스·아시아경제·뉴스1·세계일보 등, 파이낸셜뉴스만 90%로 보도). 조사 5/8~11, 74개 기관 100명, 5/24 금통위 대상."
2018-07-10,2018년 7월 채권시장지표,2018-07-12,2,,89,,89,news-article,http://v.daum.net/v/20180710141710564,동결 89%. 기준금리 BMSI 89.0(전월 93.0) — 지수식상 인상 11.0/인하 0.0 유도 가능. 7/12 금통위 대상. 금투협 nttId=120035(본문은 첨부 HWP).
2018-08-29,2018년 9월 채권시장지표,2018-08-31,2,18,82,0,,news-article,http://v.daum.net/v/20180829145317000,동결 82%·인상 18%·인하 0% 모두 기사 명시(뉴스1). 8/31 금통위 대상. 발표는 8월 말이지만 명칭은 9월. 금투협 nttId=120381.
2018-10-16,2018년 11월 채권시장지표,2018-10-18,2,33,65,2,,news-article,http://v.daum.net/v/20181016130602951,"동결 65%·인상 33%·인하 2%(뉴시스). 전월 대비 인상 +15%p(전월 인상 18%/동결 82%). 조사 10/1~5, 75개 기관 100명, 10/18 금통위 대상. 금투협 nttId=120709."
2018-11-28,2018년 12월 채권시장지표,2018-11-30,2,79,21,0,,news-article,http://v.daum.net/v/20181128115439160,"인상 79%·동결 21%(뉴스1·연합·아시아경제), 합 100→인하 0. 조사 11/16~21, 106개 기관 200명, 11/30 금통위(실제 인상) 대상. 금투협 nttId=121010."
2019-01-22,2019년 2월 채권시장지표,2019-01-24,2,,99,,,news-article,http://v.daum.net/v/20190122115649395,"동결 99.0%. 조사 1/9~14, 104개 기관 200명, 1/24 금통위 대상. 금투협 nttId=121413(첨부 파일명 190122로 발표일 확인)."
2019-02-26,2019년 3월 채권시장지표,2019-02-28,2,0,100,0,,news-article,http://v.daum.net/v/20190226145007761,"동결 100%(응답자 전원→인상·인하 0 확정). 조사 2/18~21, 104개 기관 200명, 2/28 금통위 대상. 금투협 nttId=121623."
2019-03-29,2019년 4월 채권시장지표,2019-04-18,20,17,78,,88,news-article,http://v.daum.net/v/20190329112932352,"동결 78%·인상 17%(아시아경제), 기준금리 BMSI 88 — 지수식상 인하 5.0 유도 가능. 조사 3/18~21, 104개 기관 200명, 4/18 금통위 대상. 금투협 nttId=121831."
2019-04-16,2019년 5월 채권시장지표,2019-04-18,2,,97,,,news-article,http://v.daum.net/v/20190416102604425,동결 97%(뉴시스·헤럴드 등). 4/18 금통위 대상(발표 이틀 전). 104개 기관 200명. 금투협 nttId=121966.
2019-05-29,2019년 6월 채권시장지표,2019-05-31,2,,97,,,news-article,http://v.daum.net/v/20190529112312337,"동결 97%(연합·뉴스1·KBS 등). 104개 기관 200명, 5/31 금통위 대상. 금투협 nttId=122242."
2019-07-16,2019년 8월 채권시장지표,2019-07-18,2,0,70,30,,news-article,http://v.daum.net/v/20190716104248752,"동결 70%·인하 30% 명시(연합), 합 100→인상 0. 조사 7/3~8, 104개 기관 200명, 7/18 금통위(실제 인하) 대상. 7월 중순 발표분이 '8월 지표'로 명명되는 관행의 예. 익월 9월지표 원문의 '전월 기준금리 BMSI 130.0'(100+30-0)과 정합. 금투협 게시판 검색에는 미노출."
2019-08-28,2019년 9월 채권시장지표,2019-08-30,2,0,78,22,122,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=122846&bbsId=BBSMSTR_000000000203,"동결 78.0%·인하 22.0% 원문 명시, 합 100→인상 0. 기준금리 BMSI 122.0(전월 130.0). 8/30 금통위 대상."
2019-10-15,2019년 11월 채권시장지표,2019-10-16,1,0,35,65,,news-article,http://v.daum.net/v/20191015105845138,"인하 65%·동결 35%(뉴스1·뉴시스), 합 100→인상 0. 조사 10/1~8, 56개 기관 200명 대상, 10/16 금통위(실제 인하) 대상. 금투협 nttId=123155."
2019-11-27,2019년 12월 채권시장지표,2019-11-29,2,,99,,,news-article,http://v.daum.net/v/20191127114316260,"동결 99%(뉴스1·서울경제). 96개 기관 200명, 11/29 금통위 대상. 금투협 nttId=123473."
2020-01-15,2020년 2월 채권시장지표(BMSI),2020-01-17,2,0,99,1,101,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=123798&bbsId=BBSMSTR_000000000203,"1/17 금통위 대상. 동결 99%·인하 1% 원문 명시, 기준금리 BMSI 101.0(직전과 동일)."
2020-02-25,2020년 3월 채권시장지표(BMSI),2020-02-27,2,0,81,19,119,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=124055&bbsId=BBSMSTR_000000000203,"2/27 금통위 대상. 동결 81%·인하 19% 원문 명시, 기준금리 BMSI 119.0(전월 101.0)."
2020-04-07,2020년 4월 채권시장지표(BMSI),2020-04-09,2,0,89,11,111,news-article,https://v.daum.net/v/20200407090720281,"4/9 금통위 대상(조사 3/25~31). 동결 89%는 뉴스1 명시, 기준금리 BMSI 111.0(직전 119.0)은 금투협 원문(nttId=124350) 확인. 인하 11%·인상 0%는 지수식(BMSI=100+인하-인상)과 합계 100%로 산술 확정. 코로나 위기로 3월 중순 정기 발표가 결번되고 4/7로 지연 발표."
2020-04-29,2020년 5월 채권시장지표(BMSI),2020-05-28,29,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=124500&bbsId=BBSMSTR_000000000203,금투협 본문(종합 109.5)과 당일 보도(뉴스1 등) 모두 기준금리 문항 수치 없음. 이 시기 기준금리 문항은 금통위 직전 발표분에만 포함되는 관행(5/28 금통위는 5/26자 6월 지표가 담당).
2020-05-26,2020년 6월 채권시장지표(BMSI),2020-05-28,2,0,79,21,121,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=124666&bbsId=BBSMSTR_000000000203,"5/28 금통위 대상. 동결 79%·인하 21%(직전 11%에서 증가) 원문 명시, 기준금리 BMSI 121.0."
2020-06-30,2020년 7월 채권시장지표(BMSI),2020-07-16,16,,,,,news-article,https://v.daum.net/v/20200630095413181,헤럴드경제 보도(종합 BMSI 104.4)에 기준금리 문항 없음. 7월 금통위(7/16)는 7/14자 8월 지표가 담당. 이 발표는 금투협 게시판 키워드 검색에 미노출.
2020-07-14,2020년 8월 채권시장지표(BMSI),2020-07-16,2,0,99,1,101,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=125026&bbsId=BBSMSTR_000000000203,"7/16 금통위 대상(조사 7/2~8). 동결 99%·인하 1% 원문 명시, 기준금리 BMSI 101.0(직전 121.0)."
2020-08-25,2020년 9월 채권시장지표(BMSI),2020-08-27,2,0,99,1,101,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=125297&bbsId=BBSMSTR_000000000203,"8/27 금통위 대상(조사 8/11~18). 동결 99%·인하 1% 원문 명시, 기준금리 BMSI 101.0(직전 101.0 보합)."
2020-10-12,2020년 10월 채권시장지표(BMSI),2020-10-14,2,0,100,0,100,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=125605&bbsId=BBSMSTR_000000000203,"10/14 금통위 대상. 동결 100%(직전 99.0%) 원문 명시, 기준금리 BMSI 100.0. 이 발표는 발표월과 같은 달 이름(익월 명명 아님)."
2020-10-30,2020년 11월 채권시장지표(BMSI),2020-11-26,27,,,,,news-article,https://v.daum.net/v/20201030111908553,"연합뉴스 보도(종합 100.1, 조사 10/19~23)에 기준금리 문항 없음. 11월 금통위(11/26)는 11/24자 12월 지표가 담당. 금투협 게시판 키워드 검색에 미노출."
2020-11-24,2020년 12월 채권시장지표(BMSI),2020-11-26,2,2,98,0,98,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=125917&bbsId=BBSMSTR_000000000203,"11/26 금통위 대상(조사 11/11~17). 동결 98%·인상 2% 원문 명시, 기준금리 BMSI 98.0(직전 100.0)."
2020-12-31,2021년 1월 채권시장지표(BMSI),2021-01-15,15,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=126196&bbsId=BBSMSTR_000000000203,금투협 본문(종합 100.8)과 당일 보도(뉴스1·쿠키뉴스 등)에 기준금리 문항 수치 없음(금리전망·물가·환율만). 1월 금통위(1/15)는 1/13자 2월 지표가 담당.
2021-01-13,2021년 2월 채권시장지표(BMSI),2021-01-15,2,0,100,0,100,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=126288&bbsId=BBSMSTR_000000000203,"1/15 금통위 대상. 동결 100% 원문 명시, 기준금리 BMSI 100.0(직전 98.0)."
2021-02-23,2021년 3월 채권시장지표(BMSI),2021-02-25,2,0,99,1,101,news-article,https://v.daum.net/v/20210223110831478,"2/25 금통위 대상(조사 2/8~15, 100명). 동결 99%와 기준금리 BMSI 101.0(직전 100.0)은 뉴스1 명시. 인하 1%·인상 0%는 지수식·합계 100%로 산술 확정. 금투협 게시판 키워드 검색에 미노출된 발표."
2021-04-13,2021년 4월 채권시장지표(BMSI),2021-04-15,2,0,100,0,,news-article,https://v.daum.net/v/20210413131746323,"4/15 금통위 대상(조사 3/31~4/6). 데일리안·서울경제 등 '응답 전문가 전원(100%) 동결 전망'. 금투협 원문은 nttId=126896(제목: 채권시장 전문가, 4월 금통위 기준금리 동결 전망)."
2021-04-30,2021년 5월 채권시장지표(BMSI),2021-05-27,27,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=127016&bbsId=BBSMSTR_000000000203,"연합뉴스 본문 확인 결과 기준금리 문항 없음(조사 4/19~22, 종합 87.7). 5월 금통위(5/27)는 5/25자 6월 지표가 담당."
2021-05-25,2021년 6월 채권시장지표(BMSI),2021-05-27,2,2,98,0,98,news-article,https://v.daum.net/v/20210525102037469,"5/27 금통위 대상(100명 중 98명 동결·뉴스1). 인상 2%는 한국경제(5/26) 보도, 기준금리 BMSI 98.0은 차기 발표(7/13 뉴스1)의 직전값 언급으로 확인. 금투협 원문 nttId=127181."
2021-07-13,2021년 7월 채권시장지표(BMSI),2021-07-15,2,11,89,0,89,news-article,https://v.daum.net/v/20210713140115384,"7/15 금통위 대상(조사 6/30~7/5, 100명). 동결 89%·인상 11% 명시, 기준금리 BMSI 89.0(직전 98.0). 금투협 게시판 키워드 검색에 미노출된 발표."
2021-07-30,2021년 8월 채권시장지표(BMSI),2021-08-26,27,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=127637&bbsId=BBSMSTR_000000000203,금투협 본문(종합 97.4)과 당일 보도 4건(연합·머니투데이·뉴시스·데일리안) 모두 기준금리 문항 수치 없음. 8월 금통위(8/26)는 8/24자 9월 지표가 담당.
2021-08-24,2021년 9월 채권시장지표(BMSI),2021-08-26,2,33,67,0,,news-article,https://v.daum.net/v/20210824101859163,"8/26 금통위 대상(조사 8/11~17, 100명). 뉴스1 제목·본문에 '동결 67%·인상 33%' 명시(이 회의에서 첫 인상 단행됨). 금투협 원문 nttId=127777."
2021-10-07,2021년 10월 채권시장지표(BMSI),2021-10-12,5,13,87,0,,news-article,https://v.daum.net/v/20211007100050728,10/12 금통위 대상(조사 9/27~30). 연합뉴스 '동결 87%·인상 13%' 명시. 금투협 원문 nttId=128041.
2021-11-01,2021년 11월 채권시장지표(BMSI),2021-11-25,24,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=128205&bbsId=BBSMSTR_000000000203,"한국경제TV 본문 확인 결과 기준금리 문항 없음(조사 10/19~22, 종합 86.4). 11월 금통위(11/25)는 11/23자 12월 지표가 담당."
2021-11-23,2021년 12월 채권시장지표(BMSI),2021-11-25,2,90,10,0,,news-article,https://v.daum.net/v/20211123100612847,11/25 금통위 대상(100명). 연합뉴스 '인상 90%·동결 10%' 명시. 금투협 원문 nttId=128360(제목에 '기준금리 인상 기대심리 상승').
2021-12-28,2022년 1월 채권시장지표(BMSI),2022-01-14,17,,,,,news-article,https://v.daum.net/v/20211228101001461,"당일 보도(데일리안·아이뉴스24·아시아경제, 종합 87.9)에 기준금리 문항 없음(금리전망·물가만). 1월 금통위(1/14)는 1/12자 2월 지표가 담당. 금투협 게시판 키워드 검색에 미노출."
2022-01-12,2022년 2월 채권시장지표(BMSI),2022-01-14,2,43,57,0,,news-article,https://www.mt.co.kr/stock/2022/01/12/2022011210045964500,"1/14 금통위 대상(조사 12/31~1/5, 100명). 머니투데이 '동결 57명·인상 43명' 명시(금투협 원문 nttId=128713 제목에도 57% 동결). 인하 0은 합계 100%로 확정."
2022-02-22,2022년 3월 채권시장지표(BMSI),2022-02-24,2,12,88,0,,news-article,https://v.daum.net/v/20220222110741999,2/24 금통위 대상. 뉴시스 '동결 88%·인상 12%' 명시. 금투협 원문 nttId=128975(제목: 2월 금통위 기준금리 동결 전망).
2022-03-21,2022년 4월 채권시장지표(BMSI),2022-04-14,24,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=129148&bbsId=BBSMSTR_000000000203,금투협 본문(종합 86.4)에 기준금리 수치 없음. SBS Biz가 '기준금리 유지 39%·인상 38%'로 보도했으나 이는 금리전망(시장금리) 문항(BMSI 85.0=100+하락23-상승38)과 일치해 기준금리 문항으로 볼 수 없어 미기재 처리. 4월 금통위(4/14)는 4/12자 5월 지표가 담당.
2022-04-12,2022년 5월 채권시장지표(BMSI),2022-04-14,2,50,50,0,50,news-article,https://v.daum.net/v/20220412170904183,"4/14 금통위 대상(조사 4/1~6, 100명). 노컷뉴스·파이낸셜뉴스 '인상 50%·동결 50%' 명시, 한국경제 '기준금리 BMSI 50' 확인. 공식 명칭 '2022년 5월 채권시장 지표'(한국경제 표기). 금투협 게시판 키워드 검색에 미노출."
2022-05-24,2022년 6월 채권시장지표(BMSI),2022-05-26,2,94,6,0,6,news-article,https://v.daum.net/v/20220524151702198,"5/26 금통위 대상(조사 5/13~18, 100명). 뉴시스 '인상 94%·동결 6%, 기준금리 BMSI 6.0' 명시. 금투협 원문 nttId=129586(제목: 시장참여자 94%가 인상 예상)."
2022-06-20,2022년 7월 채권시장지표(BMSI),2022-07-13,23,,,,,kofia-press-release,https://www.kofia.or.kr/npboard/m_18/view.do?nttId=129742&bbsId=BBSMSTR_000000000203,"뉴시스 본문 확인 결과 기준금리 문항 없음(조사 6/9~14, 종합 89.0 — 환율·시장금리·물가만). 7월 금통위(7/13)는 7/11자 8월 지표가 담당."
2022-07-11,2022년 8월 채권시장지표(BMSI),2022-07-13,2,99,1,0,1,news-article,https://v.daum.net/v/20220711110321749,"7/13 금통위 대상(조사 6/30~7/5, 100명). 뉴스1 '인상 99%, 기준금리 BMSI 1.0(직전 6.0)' 명시 — 인상 응답 중 50bp(빅스텝) 64%. 동결 1%·인하 0%는 지수식·합계로 확정. 금투협 원문 nttId=129887(제목: 99%가 인상 예상)."
